projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
262,66,Ta' Qali Crafts Village Road Consultancy,  ,,,,Active,,,,
263,167,Qawra Residential Development,  ,,,,Active,,,,
264,26,Fgura Commercial Development,  ,,,,Active,,,,
265,188,Mosta Football Ground,  ,,,,Active,,,,
266,3,Marsascala Apartment Block,  ,,,,Active,,,,
267,168,Zabbar Garage,  ,,,,Active,,,,
268,169,Rabat Apartment Block,  ,,,,Active,,,,
269,127,Mellieha Villas,  ,,,,Active,,,,
270,171,Zejtun Terraced House Amendments,  ,,,,Active,,,,
271,172,Zejtun Garage Development,  ,,,,Active,,,,
272,8,Zejtun Residential Development,  ,,,,Active,,,,
273,173,Malta Market Study,  ,,,,Active,,,,
274,174,Sliema Apartment Block Consultancy,  ,,,,Active,,,,
275,175,US Embassy Geotechnical Consultancy,  ,,,,Active,,,,
276,176,Sliema Residence Alterations,  ,,,,Active,,,,
277,74,Bugibba Shop Amendments,  ,,,,Active,,,,
278,6,Marsaxlokk Fish Farm Extension,  ,,,,Active,,,,
279,177,San Gwann Apartment Block,  ,,,,Active,,,,
280,178,Marsascala Apartment Block,  ,,,,Active,,,,
281,142,Ghaxaq Garage Amendments,  ,,,,Active,,,,
282,161,Rabat Apartment Block,  ,,,,Active,,,,
283,3,Xemxija Apartment Block,  ,,,,Active,,,,
284,179,Valletta Offices Refurbishment,  ,,,,Active,,,,
285,180,Tigne T14 Development,  ,,,,Active,,,,
286,6,MCP Carpark Extension,  ,,,,Active,,,,
287,155,Xghajra Terraced House,  ,,,,Active,,,,
288,181,Gudja Townhouse Extension,  ,,,,Active,,,,
289,182,Sliema Apartment Block Extension,  ,,,,Active,,,,
290,180,Zejtun Residential Development,  ,,,,Active,,,,
291,183,Xghajra Residence Alterations,  ,,,,Active,,,,
292,184,Zurrieq Residence Alterations,  ,,,,Active,,,,
293,185,Siggiewi Agricultural Development,  ,,,,Active,,,,
294,3,LIbragg Apartment Block,  ,,,,Active,,,,
295,186,Zebbug Showroom Extension,  ,,,,Active,,,,
296,187,Zejtun Football Ground Facilities,  ,,,,Active,,,,
297,189,Bulebel Factory Refurbishment,  ,,,,Active,,,,
298,6,Malta Fishfarm Extension,  ,,,,Active,,,,
299,113,Freeport Warehouse Alterations,  ,,,,Active,,,,
300,190,St. Paul's Bay Apartment Block,  ,,,,Active,,,,
301,191,Mellieha Terraced House Alterations,  ,,,,Active,,,,
302,192,Fgura Apartment Block Extension,  ,,,,Active,,,,
303,193,Mellieha Villa,  ,,,,Active,,,,
304,195,Solidbase Consultancy,  ,,,,Active,,,,
305,194,Barriera Wharf Consultancy,  ,,,,Active,,,,
306,194,Msida Quays Consultancy,  ,,,,Active,,,,
307,31,Waste Management Facilities,  ,,,,Active,,,,
308,196,Fgura Residence Extension,  ,,,,Active,,,,
309,19,Zejtun Residence Sanction,  ,,,,Active,,,,
310,1,University Offices Structural Consultancy,  ,,,,Active,,,,
311,155,Cospicua House Redevelopment,  ,,,,Active,,,,
312,61,St. Paul's Bay Language School Extension,  ,,,,Active,,,,
313,155,Marsascala Office Balcony Extension,  ,,,,Active,,,,
314,198,Safi Residence Extension,  ,,,,Active,,,,
315,199,Zejtun Residence Alterations,  ,,,,Active,,,,
316,200,MIDI Carpark Alterations,  ,,,,Active,,,,
317,201,St. Julians Chapel,  ,,,,Active,,,,
318,26,Fgura Amendments,  ,,,,Active,,,,
319,202,Gudja Apartment Block,  ,,,,Active,,,,
320,203,Birzebbugia Residence Alterations,  ,,,,Active,,,,
321,6,PPB Factory Amendments,  ,,,,Active,,,,
322,204,Attard Residence Alterations,  ,,,,Active,,,,
323,205,Cospicua Change of Use,  ,,,,Active,,,,
324,206,Birkirkara Church Geotechnical Consultancy,  ,,,,Active,,,,
325,200,JSD Quotation Works,  ,,,,Active,,,,
326,200,HalFar Factory Alterations,  ,,,,Active,,,,
327,46,Zejtun House of Character,  ,,,,Active,,,,
328,153,Tigne T15T16 Development,  ,,,,Active,,,,
329,207,Gzira Retail Units Alterations,  ,,,,Active,,,,
330,208,Palm City Inspections,  ,,,,Active,,,,
331,103,Foundation & Excavation Design at Villino Chapelle,  ,,,,Active,,,,
332,209,MIPMosta TechnoparkDay Care Center,  ,,,,Active,,,,
333,31,Ghallis Voidspace Study,  ,,,,Active,,,,
334,224,SRT Feasibility Study,  ,,,,Active,,,,
335,389,GASCO,  ,,,,Active,,,,
336,72,Mdina Bastions Consolidation Works,  ,,,,Active,,,,
337,210,University Tender,  ,,,,Active,,,,
338,31,Inert Material Mass Balance Study,  ,,,,Active,,,,
339,211,Rabat Seminary School,  ,,,,Active,,,,
340,180,Tumas Group Aircraft Hangar,  ,,,,Active,,,,
341,212,Kalkara Aparts. Struct. Consultancy,  ,,,,Active,,,,
342,37,Attard Apartment Block Structural Consultancy,  ,,,,Active,,,,
343,37,Mellieha Apartment Block Structural Consultancy,  ,,,,Active,,,,
344,213,Mellieha Residence Sanction,  ,,,,Active,,,,
345,214,Excavation Regulations Consultancy,  ,,,,Active,,,,
346,209,Hangar 3 Amendments,  ,,,,Active,,,,
347,215,Gudja Semi Detached Villa,  ,,,,Active,,,,
348,216,US Embassy Carport,  ,,,,Active,,,,
